Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Guaranteed Stop Loss,Take Profit,Trailing Stop,Financing,Commission,GSL Fee,GSL Premium,P/L,Amount,Balance
80,2/20/2020 8:26,CST,MARKET_ORDER,CLIENT_ORDER,USD/CNH,,100,Sell,,7.06094,,7.01094,,,,,,,,
81,2/20/2020 8:26,CST,ORDER_FILL,MARKET_ORDER,USD/CNH,7.03594,100,Sell,0.0098,,,,,0,0,0,,0,,4999.8
82,2/20/2020 8:26,CST,TAKE_PROFIT_ORDER,ON_FILL,,7.01094,,,,,,,,,,,,,,
83,2/20/2020 8:26,CST,STOP_LOSS_ORDER,ON_FILL,,7.06094,,,,,,,,,,,,,,
84,2/20/2020 8:27,CST,MARKET_ORDER,CLIENT_ORDER,USD/JPY,,100,Sell,,113.106,,110.106,,,,,,,,
85,2/20/2020 8:27,CST,ORDER_FILL,MARKET_ORDER,USD/JPY,112.106,100,Sell,0.0054,,,,,0,0,0,,0,,4999.8
86,2/20/2020 8:27,CST,TAKE_PROFIT_ORDER,ON_FILL,,110.106,,,,,,,,,,,,,,
87,2/20/2020 8:27,CST,STOP_LOSS_ORDER,ON_FILL,,113.106,,,,,,,,,,,,,,
88,2/20/2020 9:36,CST,ORDER_FILL,TAKE_PROFIT_ORDER,USD/MXN,18.80002,500,Sell,0.0471,,,,,0,0,0,,5.5646,,5005.36
89,2/20/2020 9:36,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
90,2/20/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.0882,,,,,,5005.28
,2/20/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,-0.0482,,,,,,
,2/20/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0.0035,,,,,,
,2/20/2020 16:00,CST,DAILY_FINANCING,TradeID: 77,EUR/USD,,,,,,,,,0.0035,,,,,,
,2/20/2020 16:00,CST,DAILY_FINANCING,TradeID: 85,USD/JPY,,,,,,,,,-0.0081,,,,,,
,2/20/2020 16:00,CST,DAILY_FINANCING,TradeID: 73,USD/DKK,,,,,,,,,-0.0097,,,,,,
,2/20/2020 16:00,CST,DAILY_FINANCING,TradeID: 46,USD/MXN,,,,,,,,,-0.0181,,,,,,
,2/20/2020 16:00,CST,DAILY_FINANCING,TradeID: 69,USD/CNH,,,,,,,,,-0.008,,,,,,
,2/20/2020 16:00,CST,DAILY_FINANCING,TradeID: 81,USD/CNH,,,,,,,,,-0.0019,,,,,,
,2/20/2020 16:00,CST,DAILY_FINANCING,TradeID: 50,NZD/USD,,,,,,,,,-0.0012,,,,,,
91,2/21/2020 1:02,CST,ORDER_FILL,TAKE_PROFIT_ORDER,USD/MXN,18.90001,100,Sell,0.0165,,,,,0,0,0,,1.8439,,5007.12
92,2/21/2020 1:02,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
93,2/21/2020 9:07,CST,ORDER_FILL,TAKE_PROFIT_ORDER,USD/DKK,6.88574,100,Buy,0.0108,,,,,0,0,0,,0.4351,,5007.55
94,2/21/2020 9:07,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
